sku,name,location,qty,price,cost_price
00001,RES 1/8W 8R2,CX-R1,25,0.05,0.07
00002,RES 1/8W 6R8,CX-R1,25,0.05,0.07
00003,RES 1/8W 5R6,CX-R1,25,0.05,0.07
00004,RES 1/8W 4R7,CX-R1,25,0.05,0.07
00005,RES 1/8W 1R8,CX-R1,25,0.05,0.07
00006,RES 1/8W 2R7,CX-R1,25,0.05,0.07
00007,RES 1/8W 3R3,CX-R1,25,0.05,0.07
00008,RES 1/8W 1R5,CX-R1,25,0.05,0.07
00009,RES 1/8W 150K,CX-R1,25,0.05,0.07
00010,RES 1/8W 330K,CX-R1,25,0.05,0.07
00011,RES 1/8W 100K,CX-R1,25,0.05,0.07
00012,RES 1/8W 180K,CX-R1,25,0.05,0.07
00013,RES 1/8W 220K,CX-R1,25,0.05,0.07
00014,RES 1/8W 270K,CX-R1,25,0.05,0.07
00015,RES 1/8W 15R,CX-R1,25,0.05,0.07
00016,RES 1/8W 33R,CX-R1,25,0.05,0.07
00017,RES 1/8W 39R,CX-R1,25,0.05,0.07
00018,RES 1/8W 120K,CX-R1,25,0.05,0.07
00019,RES 1/8W 120R,CX-R1,25,0.05,0.07
00020,RES 1/8W 12R,CX-R1,25,0.05,0.07
00021,RES 1/8W 18R,CX-R1,25,0.05,0.07
00022,RES 1/8W 82R,CX-R1,25,0.05,0.07
00023,RES 1/8W 82K,CX-R1,25,0.05,0.07
00024,RES 1/8W 68K,CX-R1,25,0.05,0.07
00025,RES 1/8W 22K,CX-R2,25,0.05,0.07
00026,RES 1/8W 27K,CX-R2,25,0.05,0.07
00027,RES 1/8W 33K,CX-R2,25,0.05,0.07
00028,RES 1/8W 47K,CX-R2,25,0.05,0.07
00029,RES 1/8W 56K,CX-R2,25,0.05,0.07
00030,RES 1/8W 470R,CX=R2,25,0.05,0.07
00031,RES 1/8W 100R,CX-R2,25,0.05,0.07
00032,RES 1/8W 2K2,CX-R2,25,0.05,0.07
00033,RES 1/8W 150R,CX-R2,25,0.05,0.07
00034,RES 1/8W 220R,CX-R2,25,0.05,0.07
00035,RES 1/8W 180R,CX-R2,25,0.05,0.07
00036,RES 1/8W 330R,CX-R2,25,0.05,0.07
00037,RES 1/8W 1K8,CX-R2,25,0.05,0.07
00038,RES 1/8W 1K5,CX-R2,25,0.05,0.07
00039,RES 1/8W 1K2,CX-R2,25,0.05,0.07
00040,RES 1/8W 820R,CX-R2,25,0.05,0.07
00041,RES 1/8W 1K,CX-R2,25,0.05,0.07
00042,RES 1/8W 560R,CX-R2,25,0.05,0.07
00043,RES 1/8W 680R,CX-R2,25,0.05,0.07
00044,RES 1/8W 47R,CX-R2,25,0.05,0.07
00045,RES 1/8W 3R9,CX-R2,25,0.05,0.07
00046,RES 1/8W 27R,CX-R2,25,0.05,0.07
00047,RES 1/8W 10R,CX-R2,25,0.05,0.07
00048,RES 1/8W 22R,CX-R2,25,0.05,0.07
00049,RES 1/8W 56R,CX-R3,25,0.05,0.07
00050,RES 1/8W 68R,CX-R3,25,0.05,0.07
00051,RES 1/8W 2K7,CX-R3,25,0.05,0.07
00052,RES 1/8W 3K3,CX-R3,25,0.05,0.07
00053,RES 1/8W 3K9,CX-R3,25,0.05,0.07
00054,RES 1/8W 4K7,CX-R3,25,0.05,0.07
00055,RES 1/8W 6K8,CX-R3,25,0.05,0.07
00056,RES 1/8W 10K,CX-R3,25,0.05,0.07
00057,RES 1/8W 12K,CX-R3,25,0.05,0.07
00058,RES 1/8W 15K,CX-R3,25,0.05,0.07
00059,RES 1/8W 2R2,CX-R3,25,0.05,0.07
00060,RES 1/8W 1R,CX-R3,25,0.05,0.07
00061,RES 1/8W 1M,CX-R3,25,0.05,0.07
00062,RES 1/8W 820K,CX-R3,25,0.05,0.07
00063,RES 1/8W 680K,CX-R3,25,0.05,0.07
00064,RES 1/8W 470K,CX-R3,25,0.05,0.07
00065,RES 1/4W 330R,CX-R3,25,0.05,0.07
00066,RES 1/4W 200R,CX-R3,25,0.05,0.07
00067,RES 1/4W 220R,CX-R3,25,0.05,0.07
00068,RES 1/4W 120R,CX-R3,25,0.05,0.07
00069,RES 1/4W 100R,CX-R3,25,0.05,0.07
00070,RES 1/4W 82R,CX-R3,25,0.05,0.07
00071,RES 1/4W 68R,CX-R3,25,0.05,0.07
00072,RES 1/4W 56R,CX-R3,25,0.05,0.07
00073,RES 1/4W 47R,CX-R4,25,0.05,0.07
00074,RES 1/4W 39R,CX-R4,25,0.05,0.07
00075,RES 1/4W 100K,CX-R4,25,0.05,0.07
00076,RES 1/4W 120K,CX-R4,25,0.05,0.07
00077,RES 1/4W 150K,CX-R4,25,0.05,0.07
00078,RES 1/4W 180K,CX-R4,25,0.05,0.07
00079,RES 1/4W 220K,CX-R4,25,0.05,0.07
00080,RES 1/4W 10K,CX-R4,25,0.05,0.07
00081,RES 1/4W 20K,CX-R4,25,0.05,0.07
00082,RES 1/4W 22K,CX-R4,25,0.05,0.07
00083,RES 1/4W 18K,CX-R4,25,0.05,0.07
00084,RES 1/4W 15K,CX-R4,25,0.05,0.07
00085,RES 1/4W 27K,CX-R4,25,0.05,0.07
00086,RES 1/4W 39K,CX-R4,25,0.05,0.07
00087,RES 1/4W 82K,CX-R4,25,0.05,0.07
00088,RES 1/4W 56K,CX-R4,25,0.05,0.07
00089,RES 1/4W 47K,CX-R4,25,0.05,0.07
00090,RES 1/4W 200K,CX-R4,25,0.05,0.07
00091,RES 1/4W 270K,CX-R4,25,0.05,0.07
00092,RES 1/4W 390K,CX-R4,25,0.05,0.07
00093,RES 1/4W 680K,CX-R4,25,0.05,0.07
00094,RES 1/4W 1M5,CX-R4,25,0.05,0.07
00095,RES 1/4W 820K,CX-R4,25,0.05,0.07
00096,RES 1/4W 2M,CX-R4,25,0.05,0.07
00097,RES 1/4W 2M2,CX-R5,25,0.05,0.07
00098,RES 1/4W 3M3,CX-R5,25,0.05,0.07
00099,RES 1/4W 4M7,CX-R5,25,0.05,0.07
00100,RES 1/4W 10M,CX-R5,25,0.05,0.07
00101,RES 1/4W 33R,CX-R5,25,0.05,0.07
00102,RES 1/4W 27R,CX-R5,25,0.05,0.07
00103,RES 1/4W 12R,CX-R5,25,0.05,0.07
00104,RES 1/4W 1R2,CX-R5,25,0.05,0.07
00105,RES 1/4W 1R,CX-R5,25,0.05,0.07
00106,RES 1/4W 15R,CX-R5,25,0.05,0.07
00107,RES 1/4W 0R82,CX-R5,25,0.05,0.07
00108,RES 1/4W 0R,CX-R5,25,0.05,0.07
00109,RES 1/4W 0R47,CX-R5,25,0.05,0.07
00110,RES 1/4W 3R3,CX-R5,25,0.05,0.07
00111,RES 1/4W 3R9,CX-R5,25,0.05,0.07
00112,RES 1/4W 4R7,CX-R5,25,0.05,0.07
00113,RES 1/4W 8R2,CX-R5,25,0.05,0.07
00114,RES 1/4W 6R8,CX-R5,25,0.05,0.07
00115,RES 1/4W 5R6,CX-R5,25,0.05,0.07
00116,RES 1/4W 1R5,CX-R5,25,0.05,0.07
00117,RES 1/4W 1R8,CX-R5,25,0.05,0.07
00118,RES 1/4W 2R2,CX-R5,25,0.05,0.07
00119,RES 1/4W 2R7,CX-R5,25,0.05,0.07
00120,RES 1/4W 5K1,CX-R5,25,0.05,0.07
00121,RES 1/4W 5K6,CX-R6,25,0.05,0.07
00122,RES 1/4W 4K7,CX-R6,25,0.05,0.07
00123,RES 1/4W 2K2,CX-R6,25,0.05,0.07
00124,RES 1/4W 1K8,CX-R6,25,0.05,0.07
00125,RES 1/4W 1K2,CX-R6,25,0.05,0.07
00126,RES 1/4W 1K,CX-R6,25,0.05,0.07
00127,RES 1/4W 1K5,CX-R6,25,0.05,0.07
00128,RES 1/4W 180R,CX-R6,50,0.05,0.06
00129,RES 1/4W 22R,CX-R6,50,0.05,0.03
00130,RES 1/4W 150R,CX-R6,50,0.05,0.03
00131,RES 1/4W 390R,CX-R6,50,0.05,0.03
00132,RES 1/4W 270R,CX-R6,50,0.05,0.03
00133,RES 1/4W 68K,CX-R6,50,0.05,0.06
00134,RES 1/4W 8K2,CX-R6,50,0.05,0.03
00135,RES 1/4W 6K8,CX-R6,50,0.05,0.03
00136,RES 1/4W 3K3,CX-R6,50,0.05,0.03
00137,RES 1/4W 560K,CX-R6,50,0.05,0.03
00138,RES 1/4W 10R,CX-R6,50,0.05,0.03
00139,RES 1/4W 330K,CX-R6,50,0.05,0.03
00140,RES 1/4W 470K,CX-R6,50,0.05,0.03
00141,RES 1/4W 470R,CX-R6,50,0.05,0.03
00142,RES 1/4W 560R,CX-R7,50,0.05,0.03
00143,RES 1/4W 820R,CX-R7,50,0.05,0.03
00144,RES 1/4W 1M,CX-R7,50,0.05,0.03
00145,RES 1/4W 2K7,CX-R7,50,0.05,0.03
00146,RES 1/4W 33K,CX-R7,50,0.05,0.03
00147,RES 1/4W 12K,CX-R7,50,0.05,0.03
00148,RES 1/4W 18R,CX-R7,50,0.05,0.03
00149,RES 1/4W 3K9,CX-R7,50,0.05,0.03
00150,RES 1/4W 680R,CX-R7,50,0.05,0.03
00151,ARD UNO SMD C/C,CX-A1,1,49.10,32.73
00152,FUS VID 5X2 2.5A,CX-F1,10,0.55,0.29
00153,FUS VID 5X2 0.8A,CX-F1,10,0.55,0.29
00154,FUS VID 5X2 1.25A,CX-F1,10,0.55,0.29
00155,FUS VID 5X2 1A,CX-F1,10,0.55,0.29
00156,FUS VID 5X2 1.5A,CX-F1,10,0.55,0.29
00157,FUS VID 5X2 2A,CX-F1,10,0.55,0.29
00158,FUS VID 5X2 8A,CX-F1,10,0.55,0.29
00159,FUS VID 5X2 9A,CX-F1,10,0.55,0.29
00160,FUS VID 5X2 10A,CX-F1,10,0.55,0.29
00161,FUS VID 5X2 7A,CX-F1,10,0.55,0.29
00162,FUS VID 5X2 6.3A,CX-F1,10,0.55,0.29
00163,FUS VID 5X2 6A,CX-F1,10,0.55,0.29
00164,FUS VID 5X2 3A,CX-F1,10,0.55,0.29
00165,FUS VID 5X2 4A,CX-F1,10,0.55,0.29
00166,FUS VID 5X2 3.5A,CX-F1,10,0.55,0.29
00167,FUS VID  5X2 0.1A,CX-F1,10,0.55,0.29
00168,FUS VID 5X2 0.25A,CX-F1,10,0.55,0.29
00169,FUS VID 5X2 0.3A,CX-F1,10,0.55,0.29
00170,FUS VID 5X2 5A,CX-F1,10,0.55,0.29
00171,FUS VID 5X2 12A,CX-F1,10,0.55,0.29
00172,FUS VIC 5X2 25A,CX-F1,10,0.55,0.29
00173,FUS VID 5X2 30A,CX-F1,10,0.55,0.29
00174,FUS VID 5X2 15A,CX-F1,10,0.75,0.37
00175,FUS VID 5X2 20A,CX-F1,10,0.65,0.35
00176,FUS VID 5X2 3.15A,CX-F1,10,0.70,0.35
00177,FUS VID 5X2 0.5A,CX-F1,10,0.55,0.29
00178,FUS VID 5X2 0.6A,CX-F1,10,0.55,0.29
00179,FUS VID 5X2 0.7A,CX-F2,10,0.55,0.29
00180,FUS VID 6X3 1A,CX-F2,10,0.85,0.42
00181,FUS VID 6X3 5A,CX-F2,10,0.85,0.42
00182,FUS VID 6X3 6A,CX-F2,10,0.85,0.42
00183,FUS VID 6X3 30A,CX-F2,10,0.85,0.42
00184,FUS VID 6X3 3A,CX-F2,10,0.75,0.39
00185,FUS VID 6X3 2A,CX-F2,10,0.75,0.39
00186,FUS VID 6X3 0.5A,CX-F2,10,0.75,0.39
00187,FUS VID 6X3 0.25A,CX-F2,10,0.75,0.39
00188,FUS VID 6X3 20A,CX-F2,10,0.75,0.39
00189,FUS VID 6X3 8A,CX-F2,10,0.75,0.39
00190,FUS VID 6X3 7A,CX-F2,10,0.75,0.39
00191,FUS VID 6X3 4A,CX-F2,10,0.75,0.39
00192,FUS VID 6X3 10A,CX-F2,10,0.75,0.39
00193,FUS VID 6X3 12A,CX-F2,10,0.75,0.39
00194,FUS VID 6X3 15A,CX-F2,10,0.75,0.39
00195,FUS VID 6X3 3.5A,CX-F2,10,0.75,0.39
00196,FUS VID 6X3 25A,CX-F2,10,0.75,0.39
00197,FUS VID 6X3 9A,CX-F2,10,0.75,0.39
00198,IND SMD 100uH,CX-I1,5,5.85,2.93
00199,LED VERDE 5MM,CX-L1,20,0.15,0.09
00200,LED AMARELO 5MM,CX-L1,20,0.30,0.15
00201,LED VERMELHO 5MM,CX-L1,20,0.15,0.09
00202,LED VERDE 3MM,CX-L1,20,0.15,0.09
00203,LED AMARELO 3MM,CX-L1,20,0.28,0.14
00204,LED VERMELHO 3MM,CX-L1,20,0.15,0.09
00205,IND AXIAL 33uH,CX-I1,10,0.26,0.13
00206,IND AXIAL 47uH,CX-I1,10,0.26,0.13
00207,IND AXIAL 150uH,CX-I1,10,0.26,0.13
00208,IND AXIAL 1mH,CX-I1,10,0.26,0.13
00209,IND AXIAL 100uH,CX-I1,10,0.26,0.13
00210,IND AXIAL 300uH,CX-I1,10,0.26,0.13
00211,IND AXIAL 10uH,CX-I1,10,0.26,0.13
00212,IND AXIAL 220uH,CX-I1,10,0.26,0.13
00213,IND AXIAL 1uH,CX-I1,10,0.26,0.13
00214,IND AXIAL 470uH,CX-I1,10,0.26,0.13
00215,IND AXIAL 560uH,CX-I1,10,0.26,0.13
00216,IND AXIAL 22uH,CX-I1,10,0.26,0.13
00217,KIT MOTOR DC 6V C/R,CX-M1,2,19.35,12.90
00218,MINI MOTOR DC 6V,CX-M1,5,4.35,2.90
00219,MICRO MOTOR VIB,CX-M1,1,6.75,4.50
00220,MOTOR 310 C/JACARE,CX-M1,1,19.35,12.90
00221,DISS RASP x3,CX-D1,2,7.40,3.70
00222,DISS C/F 27.5x16x15MM,CX-D1,5,4.78,2.39
00223,DISS 27x16x30MM,CX-D1,5,7.38,3.69
00224,DISS 32x120x40MM,CX-D1,1,42.90,21.45
00225,dsd,dsds,0,0.00,0.00
